"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\START.dart", "Dart", 484, 0, 10, 494
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Score.dart", "Dart", 538, 10, 27, 575
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\Cincinnati.dart", "Dart", 63, 0, 5, 68
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\ECG.dart", "Dart", 150, 1, 5, 156
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\MGAP.dart", "Dart", 118, 1, 5, 124
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\NEWS.dart", "Dart", 391, 1, 5, 397
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\PROACS.dart", "Dart", 150, 1, 5, 156
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\RACE.dart", "Dart", 278, 1, 9, 288
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\RTS.dart", "Dart", 106, 1, 5, 112
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\TAP.dart", "Dart", 142, 1, 5, 148
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\main.dart", "Dart", 262, 1, 7, 270
"Total", "-", 2682, 18, 88, 2788
