"filename", "language", "YAML", "Markdown", "Dart", "Swift", "JSON", "XML", "PDF", "C++", "SVG", "Properties", "Groovy", "HTML", "comment", "blank", "total"
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\README.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 37
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\Verbete_nacional.pdf", "PDF", 0, 0, 0, 0, 0, 0, 1474, 0, 0, 0, 0, 0, 0, 15, 1489
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 1, 14, 74
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 11, 1, 42
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 2, 13
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 2, 13
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 1, 7
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\android\settings_aar.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Back\back.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 1, 2, 89
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Back\head_back.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 2, 60
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Back\left_arm_back.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 2, 60
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Back\left_leg_back.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 2, 60
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Back\lower_torso_back.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 2, 60
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Back\right_arm_back.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 2, 60
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Back\right_leg_back.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 2, 60
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Back\upper_torso_back.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 2, 60
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Front\Frente.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 2, 88
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Front\genitals_front.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 2, 88
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Front\head_front.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 2, 88
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Front\left_arm_front.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 2, 88
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Front\left_leg_front.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 2, 88
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Front\lower_torso_front.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 2, 88
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Front\right_arm_front.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 2, 88
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Front\right_leg_front.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 2, 88
