"filename", "language", "Markdown", "Dart", "YAML", "Swift", "HTML", "JSON", "XML", "C", "SVG", "Groovy", "kotlin", "Properties", "comment", "blank", "total"
"c:\Users\david\Documents\EPHScores\ephscores\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\david\Documents\EPHScores\ephscores\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 1, 14, 75
"c:\Users\david\Documents\EPHScores\ephscores\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\david\Documents\EPHScores\ephscores\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 11, 1, 43
"c:\Users\david\Documents\EPHScores\ephscores\android\app\src\main\kotlin\com\example\ephscores\MainActivity.kt", "kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
"c:\Users\david\Documents\EPHScores\ephscores\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 2, 13
"c:\Users\david\Documents\EPHScores\ephscores\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 2, 13
"c:\Users\david\Documents\EPHScores\ephscores\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\david\Documents\EPHScores\ephscores\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\david\Documents\EPHScores\ephscores\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\david\Documents\EPHScores\ephscores\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\david\Documents\EPHScores\ephscores\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\Users\david\Documents\EPHScores\ephscores\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\david\Documents\EPHScores\ephscores\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\david\Documents\EPHScores\ephscores\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\Users\david\Documents\EPHScores\ephscores\android\settings_aar.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\david\Documents\EPHScores\ephscores\assets\Back\back.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 1, 2, 89
"c:\Users\david\Documents\EPHScores\ephscores\assets\Back\head_back.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 2, 60
"c:\Users\david\Documents\EPHScores\ephscores\assets\Back\left_arm_back.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 2, 60
